Date,High,Low,Open,Close,Volume,High_Range,Low_Range,Open_Range,Close_Range
2020-04-01,5.75,5.269999980926514,5.349999904632568,5.75,229337.0,9.61,0.77,2.29,9.94
2020-04-06,6.150000095367432,5.800000190734863,6.010000228881836,5.940000057220459,249403.0,6.96,0.95,4.52,3.3
2020-04-07,6.289999961853027,5.980000019073486,6.079999923706055,6.059999942779541,209123.0,5.69,0.69,2.36,2.02
2020-04-08,6.21999979019165,6.019999980926514,6.079999923706055,6.139999866485596,127982.0,2.54,-0.67,0.33,1.32
2020-04-09,6.230000019073486,6.070000171661377,6.159999847412109,6.090000152587891,117633.0,1.45,-1.16,0.33,-0.81
2020-04-10,6.099999904632568,6.0,6.050000190734863,6.090000152587891,85537.0,0.16,-1.48,-0.66,0.0
2020-04-13,6.449999809265137,6.21999979019165,6.289999961853027,6.230000019073486,188676.0,5.9,2.17,3.28,2.3
2020-04-14,6.320000171661377,6.239999771118164,6.289999961853027,6.289999961853027,88364.0,1.4,0.16,0.96,0.96
2020-04-15,6.389999866485596,6.300000190734863,6.320000171661377,6.320000171661377,84975.0,1.58,0.16,0.48,0.48
2020-04-16,6.25,6.170000076293945,6.25,6.210000038146973,71106.0,-1.1,-2.38,-1.11,-1.74
2020-04-17,6.400000095367432,6.210000038146973,6.329999923706055,6.25,117109.0,3.04,0.0,1.93,0.64
2020-04-20,6.400000095367432,6.179999828338623,6.269999980926514,6.269999980926514,103335.0,2.34,-1.13,0.32,0.32
2020-04-21,6.28000020980835,6.0,6.21999979019165,6.0,122776.0,0.16,-4.37,-0.8,-4.31
2020-04-22,6.179999828338623,5.880000114440918,5.96999979019165,6.090000152587891,93345.0,2.87,-2.0,-0.5,1.5
2020-04-23,6.21999979019165,6.090000152587891,6.150000095367432,6.119999885559082,54214.0,2.1,0.0,0.99,0.49
2020-04-24,6.210000038146973,6.110000133514404,6.170000076293945,6.139999866485596,49441.0,1.45,-0.16,0.82,0.33
2020-04-27,6.539999961853027,6.199999809265137,6.21999979019165,6.429999828338623,184171.0,6.44,0.98,1.3,4.72
2020-04-28,6.670000076293945,6.400000095367432,6.519999980926514,6.429999828338623,134457.0,3.67,-0.48,1.4,0.0
2020-04-29,6.519999980926514,6.369999885559082,6.480000019073486,6.440000057220459,84010.0,1.35,-0.94,0.78,0.16
2020-04-30,6.590000152587891,6.460000038146973,6.519999980926514,6.539999961853027,99297.0,2.3,0.31,1.24,1.55
2020-05-04,6.340000152587891,6.25,6.300000190734863,6.269999980926514,94115.0,-3.03,-4.49,-3.67,-4.13
